Membership No  Date Joined  Active  
    34042      2020-1-13    yes   
    63021      2019-8-3     yes   
    59854      2016-1-1     yes   
    21701      2018-3-7     yes   
    85278      2015-3-17    yes   
    37352      2017-2-12    yes   
    76745      2017-4-6     yes   
    63376      2017-2-20    yes   
    67944      2017-5-5     yes   
    87108      2019-9-19    yes   
    95378      2019-6-7     yes   
    62312      2016-6-4     yes   
    57885      2018-9-19    yes   
    49122      2019-1-6     yes   
    54853      2016-8-1     no    
    87108      2019-9-19    yes   
    95378      2019-6-7     yes   
    62312      2016-6-4     yes   
    57885      2018-9-19    yes   
    49122      2019-1-6     yes   
